plate	well	parental	pausecodon	pauselocation	replicate	strain_id	strain_label	comment
1	B4	yfp0	CTC	8	1	ecMF164.1	yfp0_CTC8	
1	B5	yfp0	CTC	9	1	ecMF165.1	yfp0_CTC9	
1	B6	yfp0	CTC	8,9	1	ecMF166.1	yfp0_CTC8,9	
1	B7	yfp0	CTC	8,10	1	ecMF167.1	yfp0_CTC8,10	
1	B8	yfp0	CTC	9,10	1	ecMF168.1	yfp0_CTC9,10	
1	B9	yfp0	CTC	8,14	1	ecMF170.1	yfp0_CTC8,14	
1	E4	yfp0	CTC	9,14	1	ecMF171.1	yfp0_CTC9,14	
1	E5	yfp0	NA	NA	1	ecMF82.1	yfp0	
1	E6	yfp0	CTC	10	1	ecMF95.1	yfp0_CTC10	
1	E7	yfp0	CTC	14	1	ecMF96.1	yfp0_CTC14	
1	E8	yfp0	CTC	10,14	1	ecMF117.1	yfp0_CTC10,14	
1	E9	yfp0	CTA	4,5,6,7,8,9,10	1	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
2	B4	yfp0	CTC	11	1	ecMF226.1	yfp0_CTC11	
2	B5	yfp0	CTC	12	1	ecMF227.1	yfp0_CTC12	
2	B6	yfp0	CTC	8,11	1	ecMF228.1	yfp0_CTC8,11	
2	B7	yfp0	CTC	8,12	1	ecMF229.1	yfp0_CTC8,12	
2	B8	yfp0	CTC	11,12	1	ecMF230.1	yfp0_CTC11,12	
2	B9	yfp0	CTC	13	1	ecMF231.1	yfp0_CTC13	
2	E4	yfp0	CTC	8,13	1	ecMF232.1	yfp0_CTC8,13	
2	E5	yfp0	CTC	13,14	1	ecMF233.1	yfp0_CTC13,14	
2	E6	yfp0	CTC	9,11	1	ecMF234.1	yfp0_CTC9,11	
2	E7	yfp0	CTC	9,12	1	ecMF235.1	yfp0_CTC9,12	
2	E8	yfp0	CTC	9,13	1	ecMF236.1	yfp0_CTC9,13	
2	E9	NA	NA	NA	NA	NA	NA	blank
1	C4	yfp0	CTC	8	2	ecMF164.2	yfp0_CTC8	
1	C5	yfp0	CTC	9	2	ecMF165.2	yfp0_CTC9	
1	C6	yfp0	CTC	8,9	2	ecMF166.2	yfp0_CTC8,9	
1	C7	yfp0	CTC	8,10	2	ecMF167.2	yfp0_CTC8,10	
1	C8	yfp0	CTC	9,10	2	ecMF168.2	yfp0_CTC9,10	
1	C9	yfp0	CTC	8,14	2	ecMF170.2	yfp0_CTC8,14	
1	F4	yfp0	CTC	9,14	2	ecMF171.2	yfp0_CTC9,14	
1	F5	yfp0	NA	NA	2	ecMF82.2	yfp0	
1	F6	yfp0	CTC	10	2	ecMF95.2	yfp0_CTC10	
1	F7	yfp0	CTC	14	2	ecMF96.2	yfp0_CTC14	
1	F8	yfp0	CTC	10,14	2	ecMF117.2	yfp0_CTC10,14	
1	F9	yfp0	CTA	4,5,6,7,8,9,10	2	ecMF112.2	yfp0_CTA4,5,6,7,8,9,10	
2	C4	yfp0	CTC	11	2	ecMF226.2	yfp0_CTC11	
2	C5	yfp0	CTC	12	2	ecMF227.2	yfp0_CTC12	
2	C6	yfp0	CTC	8,11	2	ecMF228.2	yfp0_CTC8,11	
2	C7	yfp0	CTC	8,12	2	ecMF229.2	yfp0_CTC8,12	
2	C8	yfp0	CTC	11,12	2	ecMF230.2	yfp0_CTC11,12	
2	C9	yfp0	CTC	13	2	ecMF231.2	yfp0_CTC13	
2	F4	yfp0	CTC	8,13	2	ecMF232.2	yfp0_CTC8,13	
2	F5	yfp0	CTC	13,14	2	ecMF233.2	yfp0_CTC13,14	
2	F6	yfp0	CTC	9,11	2	ecMF234.2	yfp0_CTC9,11	
2	F7	yfp0	CTC	9,12	2	ecMF235.2	yfp0_CTC9,12	
2	F8	yfp0	CTC	9,13	2	ecMF236.2	yfp0_CTC9,13	
2	F9	NA	NA	NA	NA	NA	NA	blank
1	D4	yfp0	CTC	8	3	ecMF164.3	yfp0_CTC8	
1	D5	yfp0	CTC	9	3	ecMF165.3	yfp0_CTC9	
1	D6	yfp0	CTC	8,9	3	ecMF166.3	yfp0_CTC8,9	
1	D7	yfp0	CTC	8,10	3	ecMF167.3	yfp0_CTC8,10	
1	D8	yfp0	CTC	9,10	3	ecMF168.3	yfp0_CTC9,10	
1	D9	yfp0	CTC	8,14	3	ecMF170.3	yfp0_CTC8,14	
1	G4	yfp0	CTC	9,14	3	ecMF171.3	yfp0_CTC9,14	
1	G5	yfp0	NA	NA	3	ecMF82.3	yfp0	
1	G6	yfp0	CTC	10	3	ecMF95.3	yfp0_CTC10	
1	G7	yfp0	CTC	14	3	ecMF96.3	yfp0_CTC14	
1	G8	yfp0	CTC	10,14	3	ecMF117.3	yfp0_CTC10,14	
1	G9	yfp0	CTA	4,5,6,7,8,9,10	3	ecMF112.3	yfp0_CTA4,5,6,7,8,9,10	
2	D4	yfp0	CTC	11	3	ecMF226.3	yfp0_CTC11	
2	D5	yfp0	CTC	12	3	ecMF227.3	yfp0_CTC12	
2	D6	yfp0	CTC	8,11	3	ecMF228.3	yfp0_CTC8,11	
2	D7	yfp0	CTC	8,12	3	ecMF229.3	yfp0_CTC8,12	
2	D8	yfp0	CTC	11,12	3	ecMF230.3	yfp0_CTC11,12	
2	D9	yfp0	CTC	13	3	ecMF231.3	yfp0_CTC13	
2	G4	yfp0	CTC	8,13	3	ecMF232.3	yfp0_CTC8,13	
2	G5	yfp0	CTC	13,14	3	ecMF233.3	yfp0_CTC13,14	
2	G6	yfp0	CTC	9,11	3	ecMF234.3	yfp0_CTC9,11	
2	G7	yfp0	CTC	9,12	3	ecMF235.3	yfp0_CTC9,12	
2	G8	yfp0	CTC	9,13	3	ecMF236.3	yfp0_CTC9,13	
2	G9	NA	NA	NA	NA	NA	NA	blank
