index	5primepreterm	bkgdpreterm	initiationrate	mutant	proteins_mutant	proteins_yfp0	selpreterm	simulation_time	stallstrengthindex	ps_ratio
0	0.0	0	0.3	cta167	495	10000	1.0	34564.26	0	0.0495
1	1.0	0	0.3	cta180	1375	10000	0.0	34604.37	0	0.1375
2	1.0	0	0.3	cta61	429	10000	0.0	34588.36	0	0.0429
3	1.0	0	0.3	cta113	1395	10000	0.0	34638.98	0	0.1395
4	0.0	0	0.3	cta35	1705	10000	0.0	34501.08	0	0.1705
5	0.0	0	0.3	cta166	504	10000	1.0	35116.64	0	0.0504
6	1.0	0	0.3	cta220	1321	10000	0.0	34264.35	0	0.1321
7	1.0	0	0.3	cta56	447	10000	0.0	34561.44	0	0.0447
8	0.0	0	0.3	cta229	527	10000	1.0	35056.64	0	0.0527
9	0.0	0	0.3	cta189	503	10000	1.0	34201.79	0	0.0503
10	0.0	0	0.3	cta142	493	10000	1.0	34873.6	0	0.0493
11	1.0	0	0.3	cta106	1393	10000	0.0	34649.94	0	0.1393
12	1.0	0	0.3	cta173	1440	10000	0.0	35193.85	0	0.144
13	1.0	0	0.3	cta1	2241	10000	0.0	34873.52	0	0.2241
14	0.0	0	0.3	cta5	1754	10000	0.0	35055.4	0	0.1754
15	0.0	0	0.3	cta77	513	10000	1.0	35188.26	0	0.0513
16	0.0	0	0.3	cta110	555	10000	1.0	34986.5	0	0.0555
17	0.0	0	0.3	cta138	490	10000	1.0	34545.25	0	0.049
18	0.0	0	0.3	cta212	521	10000	1.0	34389.99	0	0.0521
19	0.0	0	0.3	cta9	1787	10000	0.0	34653.37	0	0.1787
20	0.0	0	0.3	cta145	466	10000	1.0	34897.58	0	0.0466
21	0.0	0	0.3	cta128	492	10000	1.0	34584.71	0	0.0492
22	0.0	0	0.3	cta139	478	10000	1.0	35062.73	0	0.0478
23	1.0	0	0.3	cta116	1363	10000	0.0	34855.45	0	0.1363
24	1.0	0	0.3	cta172	1370	10000	0.0	34793.5	0	0.137
25	0.0	0	0.3	cta188	2068	10000	0.0	34936.85	0	0.2068
26	1.0	0	0.3	cta72	1338	10000	0.0	34985.34	0	0.1338
27	1.0	0	0.3	cta155	1353	10000	0.0	34239.24	0	0.1353
28	1.0	0	0.3	cta28	1343	10000	0.0	34706.59	0	0.1343
29	1.0	0	0.3	cta175	1428	10000	0.0	35556.88	0	0.1428
30	0.0	0	0.3	cta105	497	10000	1.0	34207.03	0	0.0497
31	1.0	0	0.3	cta57	457	10000	0.0	35704.57	0	0.0457
32	0.0	0	0.3	cta226	2118	10000	0.0	34928.17	0	0.2118
33	0.0	0	0.3	cta117	1914	10000	0.0	34455.48	0	0.1914
34	0.0	0	0.3	cta49	527	10000	1.0	34432.73	0	0.0527
35	0.0	0	0.3	cta159	1983	10000	0.0	34776.48	0	0.1983
36	0.0	0	0.3	cta25	1819	10000	0.0	35191.85	0	0.1819
37	0.0	0	0.3	cta170	522	10000	1.0	35234.04	0	0.0522
38	0.0	0	0.3	cta144	1956	10000	0.0	34790.24	0	0.1956
39	0.0	0	0.3	cta224	2096	10000	0.0	35297.94	0	0.2096
40	1.0	0	0.3	cta96	1383	10000	0.0	34506.41	0	0.1383
41	0.0	0	0.3	cta33	1703	10000	0.0	35328.99	0	0.1703
42	0.0	0	0.3	cta37	1667	10000	0.0	34637.64	0	0.1667
43	0.0	0	0.3	cta236	489	10000	1.0	34977.93	0	0.0489
